name,community
288.84_71.01,3
289.1_121.98,3
289.12_65.63,3
289.24_55.76,3
289.35_63.86,3
289.38_68.42,3
289.6_95.47,3
289.78_144.54,3
289.78_148.16,3
289.79_69.72,3
290.09_129.1,3
290.31_87.92,3
290.33_93.05,3
290.34_125.15,3
290.37_84.93,3
290.38_67.26,3
290.45_111.33,3
290.75_98.14,3
290.79_115.74,3
290.8_69.45,3
290.83_119.05,3
290.84_75.1,3
290.9_53.25,3
290.94_67.35,5
291.03_105.15,3
291.21_139.41,3
291.26_113.86,3
291.29_108.68,3
291.5_92.28,3
291.52_114.28,3
291.56_123.41,3
291.62_92.35,3
291.62_94.38,1
291.67_64.21,5
291.73_92.48,5
291.74_92.37,3
291.77_146.61,3
291.79_92.54,3
291.8_92.12,3
291.84_92.36,3
291.84_92.61,3
291.88_90.27,3
291.89_69.87,3
291.9_115.29,3
291.9_92.75,5
291.92_78.99,3
291.92_92.52,3
291.92_92.66,3
291.94_92.3,3
291.96_92.53,3
292_92.7,3
292.02_92.62,3
292.06_92.89,3
292.1_92.73,3
292.1_92.96,3
292.12_65.86,5
292.12_92.52,3
292.15_103.1,3
292.19_92.81,3
292.23_92.68,5
292.25_92.27,3
292.32_111.97,3
292.38_98.11,3
292.66_146.5,2
292.71_71.77,3
292.78_91.95,3
292.81_93.34,5
292.88_87.8,5
293.01_69.53,5
293.03_91.53,3
293.09_116.73,3
293.11_110.44,3
293.2_140.46,3
293.2_143.04,2
293.29_135.12,3
293.41_80.49,3
293.52_73.43,3
293.53_100.21,3
293.55_97.5,3
294.06_102.39,3
294.37_106.6,3
294.4_74.61,5
294.44_92.91,3
294.47_110.91,3
294.49_82.29,3
294.56_146.94,2
295_77.58,3
295.03_97.74,3
295.11_99.87,3
295.26_141.93,2
295.38_113.04,5
295.48_512.87,1
295.6_514.52,1
295.61_130.78,3
295.64_140.44,3
295.68_84.94,3
295.69_113.47,3
295.76_139.45,3
295.8_89.43,5
295.84_125.18,3
296.18_511.84,1
296.19_512.39,1
296.26_103.86,3
296.29_94.52,3
296.36_511.66,3
296.4_142.43,3
296.42_117.33,3
296.46_97.17,3
296.51_143.21,3
296.66_142.73,3
297.04_92.43,3
297.07_122.99,3
297.08_108.52,3
297.24_514.2,1
297.39_512.7,1
297.39_518.17,1
297.59_113.57,3
297.62_137.74,3
297.77_517.95,1
297.8_78.66,5
297.96_143.77,3
297.96_520.71,1
297.99_89.14,3
298.02_514.91,1
298.13_511.59,1
298.32_112.36,5
298.4_111.83,3
298.42_127.44,3
298.5_91.9,3
298.68_90.29,3
298.73_513.99,1
